Species,type,body_size_grams,density,abundance,patch_area,diversity_patch,richness_patch,location,reference
Mazama,ungulate,19549.5,0.34,NA,210,NA,NA,NA,Chiarello1999
Sciurus aeustans,rodent,185,3.68,NA,210,NA,NA,NA,Chiarello1999
Shiggurus insidiosus,rodent,1300,0.17,NA,210,NA,NA,NA,Chiarello1999
Dasyprocta leporina,rodent,3020,0,NA,210,NA,NA,NA,Chiarello1999
Agouti paca,rodent,8000,0,NA,210,NA,NA,NA,Chiarello1999
Chaetomys subspinatus,rodent,1300,0.34,NA,210,NA,NA,NA,Chiarello1999
Sylvilagus brasiliensis,rodent,950,0,NA,210,NA,NA,NA,Chiarello1999
Marmosops incanus,marsupial,62.3,NA,2,9400,NA,NA,NA,Pardinietal2005
Oligoryzomys nigripes,rodent,20.33,NA,4,9400,NA,NA,NA,Pardinietal2005
Delomys sublineatus,rodent,89.99,NA,1,9400,NA,NA,NA,Pardinietal2005
Didelphis aurita,marsupial,1110,NA,-0.5,9400,NA,NA,NA,Pardinietal2005
Akodon montensis,rodent,13.52,NA,-2,9400,NA,NA,NA,Pardinietal2005
Oryzomys angouya,rodent,120.17,NA,-1,9400,NA,NA,NA,Pardinietal2005
Monodelphis americana,marsupial,54,NA,1,9400,NA,NA,NA,Pardinietal2005
Brucepattersonius aff. iheringi,rodent,43,NA,-1,9400,NA,NA,NA,Pardinietal2005
Marmosops incanus,marsupial,58.8,NA,2,75,NA,NA,NA,Pardinietal2005
Oligoryzomys nigripes,rodent,20.33,NA,-1,75,NA,NA,NA,Pardinietal2005
Delomys sublineatus,rodent,89.99,NA,1,75,NA,NA,NA,Pardinietal2005
Didelphis aurita,marsupial,1110,NA,-0.5,75,NA,NA,NA,Pardinietal2005
Akodon montensis,rodent,13.52,NA,1,75,NA,NA,NA,Pardinietal2005
Oryzomys angouya,rodent,120.17,NA,0.5,75,NA,NA,NA,Pardinietal2005
Monodelphis americana,marsupial,54,NA,-0.5,75,NA,NA,NA,Pardinietal2005
Brucepattersonius aff. iheringi,rodent,43,NA,1,75,NA,NA,NA,Pardinietal2005
Marmosops incanus,marsupial,58.8,NA,-2,30,NA,NA,NA,Pardinietal2005
Oligoryzomys nigripes,rodent,20.33,NA,-2,30,NA,NA,NA,Pardinietal2005
Delomys sublineatus,rodent,89.99,NA,-2,30,NA,NA,NA,Pardinietal2005
Didelphis aurita,marsupial,1110,NA,-0.5,30,NA,NA,NA,Pardinietal2005
Akodon montensis,rodent,13.52,NA,2,30,NA,NA,NA,Pardinietal2005
Oryzomys angouya,rodent,120.17,NA,1,30,NA,NA,NA,Pardinietal2005
Monodelphis americana,marsupial,54,NA,-0.2,30,NA,NA,NA,Pardinietal2005
Brucepattersonius aff. iheringi,rodent,43,NA,1.5,30,NA,NA,NA,Pardinietal2005
Monodelphis americana,marsupial,54,NA,-1.8,3,NA,NA,NA,Pardinietal2005
Brucepattersonius aff. iheringi,rodent,43,NA,0.5,3,NA,NA,NA,Pardinietal2005
Marmosops incanus,marsupial,58.8,NA,-4,3,NA,NA,NA,Pardinietal2005
Oligoryzomys nigripes,rodent,20.33,NA,-2,3,NA,NA,NA,Pardinietal2005
Delomys sublineatus,rodent,89.99,NA,-1,3,NA,NA,NA,Pardinietal2005
Didelphis aurita,marsupial,1110,NA,-0.5,3,NA,NA,NA,Pardinietal2005
Akodon montensis,rodent,13.52,NA,3,3,NA,NA,NA,Pardinietal2005
Oryzomys angouya,rodent,120.17,NA,-0.2,3,NA,NA,NA,Pardinietal2005
Monodelphis americana,marsupial,54,NA,-2,3,NA,NA,NA,Pardinietal2005
Brucepattersonius aff. iheringi,rodent,43,NA,0.8,3,NA,NA,NA,Pardinietal2005
Hippocamelus antisensis,ungulate,68600,NA,3,300,NA,NA,NA,Michalski&Peres2007
Akodon montensis,rodent,42,NA,0.51,7455.8,NA,NA,NA,Gheler-Costa_etal2014
Akodon montensis,rodent,42,NA,0,5670.48,NA,NA,NA,Gheler-Costa_etal2014
Akodon montensis,rodent,42,NA,0.75,8265.76,NA,NA,NA,Gheler-Costa_etal2014
Akodon montensis,rodent,42,NA,0.3,27286.88,NA,NA,NA,Gheler-Costa_etal2014
Rhipidomys mastacalis,rodent,77.5,NA,0,7455.8,NA,NA,NA,Gheler-Costa_etal2014
Rhipidomys mastacalis,rodent,77.5,NA,0.41,5670.48,NA,NA,NA,Gheler-Costa_etal2014
Rhipidomys mastacalis,rodent,77.5,NA,0.629,8265.76,NA,NA,NA,Gheler-Costa_etal2014
Rhipidomys mastacalis,rodent,77.5,NA,0,27286.88,NA,NA,NA,Gheler-Costa_etal2014
Necromys lasiurus,rodent,39.9,NA,1.5,7455.8,NA,NA,NA,Gheler-Costa_etal2014
Necromys lasiurus,rodent,39.9,NA,0,5670.48,NA,NA,NA,Gheler-Costa_etal2014
Necromys lasiurus,rodent,39.9,NA,0,8265.76,NA,NA,NA,Gheler-Costa_etal2014
Necromys lasiurus,rodent,39.9,NA,0,27286.88,NA,NA,NA,Gheler-Costa_etal2014
Calomys tener,rodent,13.8,NA,1.25,7455.8,NA,NA,NA,Gheler-Costa_etal2014
Calomys tener,rodent,13.8,NA,0.2,5670.48,NA,NA,NA,Gheler-Costa_etal2014
Calomys tener,rodent,13.8,NA,0.04,8265.76,NA,NA,NA,Gheler-Costa_etal2014
Calomys tener,rodent,13.8,NA,0,27286.88,NA,NA,NA,Gheler-Costa_etal2014
Marmosa mexicana,marsupial,46.7,NA,6,12557,NA,NA,Mexico,Estrada_etal1994
Marmosa mexicana,marsupial,46.7,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Marmosa mexicana,marsupial,46.7,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Marmosa mexicana,marsupial,46.7,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Didelphis virginiana,marsupial,2797,NA,70,12557,NA,NA,Mexico,Estrada_etal1994
Didelphis virginiana,marsupial,2797,NA,31,80,NA,NA,Mexico,Estrada_etal1994
Didelphis virginiana,marsupial,2797,NA,9,800,NA,NA,Mexico,Estrada_etal1994
Didelphis virginiana,marsupial,2797,NA,3,100,NA,NA,Mexico,Estrada_etal1994
Didelphis marsupialis,marsupial,1700,NA,183,12557,NA,NA,Mexico,Estrada_etal1994
Didelphis marsupialis,marsupial,1700,NA,91,80,NA,NA,Mexico,Estrada_etal1994
Didelphis marsupialis,marsupial,1700,NA,15,800,NA,NA,Mexico,Estrada_etal1994
Didelphis marsupialis,marsupial,1700,NA,16,100,NA,NA,Mexico,Estrada_etal1994
Philander opossum,marsupial,570,NA,154,12557,NA,NA,Mexico,Estrada_etal1994
Philander opossum,marsupial,570,NA,38,80,NA,NA,Mexico,Estrada_etal1994
Philander opossum,marsupial,570,NA,10,800,NA,NA,Mexico,Estrada_etal1994
Philander opossum,marsupial,570,NA,10,100,NA,NA,Mexico,Estrada_etal1994
Caluromys derbianus,marsupial,289,NA,10,12557,NA,NA,Mexico,Estrada_etal1994
Caluromys derbianus,marsupial,289,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Caluromys derbianus,marsupial,289,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Caluromys derbianus,marsupial,289,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Allouata palliata,primates,6174,NA,183,12557,NA,NA,Mexico,Estrada_etal1994
Allouata palliata,primates,6174,NA,61,80,NA,NA,Mexico,Estrada_etal1994
Allouata palliata,primates,6174,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Allouata palliata,primates,6174,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Ateles geoffroyii,primates,7630,NA,10,12557,NA,NA,Mexico,Estrada_etal1994
Ateles geoffroyii,primates,7630,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Ateles geoffroyii,primates,7630,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Ateles geoffroyii,primates,7630,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Tamandua mexicana,xenarthra,4180,NA,2,12557,NA,NA,Mexico,Estrada_etal1994
Tamandua mexicana,xenarthra,4180,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Tamandua mexicana,xenarthra,4180,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Tamandua mexicana,xenarthra,4180,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Dasypus novemcinctus,xenarthra,3401,NA,20,12557,NA,NA,Mexico,Estrada_etal1994
Dasypus novemcinctus,xenarthra,3401,NA,26,80,NA,NA,Mexico,Estrada_etal1994
Dasypus novemcinctus,xenarthra,3401,NA,3,800,NA,NA,Mexico,Estrada_etal1994
Dasypus novemcinctus,xenarthra,3401,NA,49,100,NA,NA,Mexico,Estrada_etal1994
Sylvilagus floridanus,rodent,1036,NA,0,12557,NA,NA,Mexico,Estrada_etal1994
Sylvilagus floridanus,rodent,1036,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Sylvilagus floridanus,rodent,1036,NA,2,800,NA,NA,Mexico,Estrada_etal1994
Sylvilagus floridanus,rodent,1036,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Sylvilagus brasiliensis,rodent,950,NA,4,12557,NA,NA,Mexico,Estrada_etal1994
Sylvilagus brasiliensis,rodent,950,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Sylvilagus brasiliensis,rodent,950,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Sylvilagus brasiliensis,rodent,950,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Sciurus aureogaster,rodent,455.57,NA,116,12557,NA,NA,Mexico,Estrada_etal1994
Sciurus aureogaster,rodent,455.57,NA,60,80,NA,NA,Mexico,Estrada_etal1994
Sciurus aureogaster,rodent,455.57,NA,184,800,NA,NA,Mexico,Estrada_etal1994
Sciurus aureogaster,rodent,455.57,NA,450,100,NA,NA,Mexico,Estrada_etal1994
Sciurus deppei,rodent,249.5,NA,98,12557,NA,NA,Mexico,Estrada_etal1994
Sciurus deppei,rodent,249.5,NA,2,80,NA,NA,Mexico,Estrada_etal1994
Sciurus deppei,rodent,249.5,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Sciurus deppei,rodent,249.5,NA,100,100,NA,NA,Mexico,Estrada_etal1994
Orthogeomys hispidus,rodent,542.1,NA,16,12557,NA,NA,Mexico,Estrada_etal1994
Orthogeomys hispidus,rodent,542.1,NA,41,80,NA,NA,Mexico,Estrada_etal1994
Orthogeomys hispidus,rodent,542.1,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Orthogeomys hispidus,rodent,542.1,NA,0,100,NA,NA,Mexico,Estrada_etal1994
Heteromys desmarestianus,rodent,72.2,NA,108,12557,NA,NA,Mexico,Estrada_etal1994
Heteromys desmarestianus,rodent,72.2,NA,12,80,NA,NA,Mexico,Estrada_etal1994
Heteromys desmarestianus,rodent,72.2,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Heteromys desmarestianus,rodent,72.2,NA,120,100,NA,NA,Mexico,Estrada_etal1994
Oryzomys palustris,rodent,47.1,NA,26,12557,NA,NA,Mexico,Estrada_etal1994
Oryzomys palustris,rodent,47.1,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Oryzomys palustris,rodent,47.1,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Oryzomys palustris,rodent,47.1,NA,26,100,NA,NA,Mexico,Estrada_etal1994
Oryzomys alfaroi,rodent,33.3,NA,10,12557,NA,NA,Mexico,Estrada_etal1994
Oryzomys alfaroi,rodent,33.3,NA,0,80,NA,NA,Mexico,Estrada_etal1994
Oryzomys alfaroi,rodent,33.3,NA,0,800,NA,NA,Mexico,Estrada_etal1994
Oryzomys alfaroi,rodent,33.3,NA,10,100,NA,NA,Mexico,Estrada_etal1994
